k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
5.0,1.0,40000.0,lowest_mu,high_mu_zero,uniform_switch,1.5255,0.09999999999999998,0.99755,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,high_mu_zero,prior_best_switch,3.3166,0.09999999999999998,0.99755,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,40000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.690975,0.09999999999999998,0.99755,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,uniform_zero,stay,0.93065,0.9327400000000001,1.9549,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,uniform_zero,uniform_switch,1.8239625,0.9327400000000001,1.9549,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,uniform_zero,prior_best_switch,2.844925,0.9327400000000001,1.9549,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,uniform_zero,oracle_best_switch,3.1419625,0.9327400000000001,1.9549,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,low_mu_zero,stay,0.9374375,0.939635,1.953725,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,low_mu_zero,uniform_switch,1.81085,0.939635,1.953725,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,low_mu_zero,prior_best_switch,2.7390375,0.939635,1.953725,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,low_mu_zero,oracle_best_switch,3.1469875,0.939635,1.953725,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,high_mu_zero,stay,0.9357625,0.9412125000000002,1.953925,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,high_mu_zero,uniform_switch,1.8155,0.9412125000000002,1.953925,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,high_mu_zero,prior_best_switch,2.9244625,0.9412125000000002,1.953925,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,random,high_mu_zero,oracle_best_switch,3.1307125,0.9412125000000002,1.953925,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,uniform_zero,stay,3.2016,3.2,1.9892,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,uniform_zero,uniform_switch,0.7433375,3.2,1.9892,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,uniform_zero,prior_best_switch,0.938475,3.2,1.9892,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,uniform_zero,oracle_best_switch,1.3193125,3.2,1.9892,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,low_mu_zero,stay,3.208,3.2,1.989225,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,low_mu_zero,uniform_switch,0.7382375,3.2,1.989225,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,low_mu_zero,prior_best_switch,0.7204625,3.2,1.989225,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,low_mu_zero,oracle_best_switch,1.34025,3.2,1.989225,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,high_mu_zero,stay,3.191,3.2,1.988175,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,high_mu_zero,uniform_switch,0.747425,3.2,1.988175,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,high_mu_zero,prior_best_switch,1.168625,3.2,1.988175,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,highest_mu,high_mu_zero,oracle_best_switch,1.347675,3.2,1.988175,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,uniform_zero,stay,0.09885,0.09999999999999998,1.93335,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,uniform_zero,uniform_switch,2.1877125,0.09999999999999998,1.93335,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,uniform_zero,prior_best_switch,3.3197,0.09999999999999998,1.93335,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,uniform_zero,oracle_best_switch,3.69445,0.09999999999999998,1.93335,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,low_mu_zero,stay,0.102575,0.09999999999999998,1.93485,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,low_mu_zero,uniform_switch,2.174,0.09999999999999998,1.93485,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,low_mu_zero,prior_best_switch,3.24085,0.09999999999999998,1.93485,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,low_mu_zero,oracle_best_switch,3.680975,0.09999999999999998,1.93485,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,high_mu_zero,stay,0.1001,0.09999999999999998,1.933975,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,high_mu_zero,uniform_switch,2.1877625,0.09999999999999998,1.933975,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,high_mu_zero,prior_best_switch,3.38435,0.09999999999999998,1.933975,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,40000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.6811,0.09999999999999998,1.933975,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,uniform_zero,stay,0.940025,0.9349425000000001,2.6515,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,uniform_zero,uniform_switch,2.70685,0.9349425000000001,2.6515,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,uniform_zero,prior_best_switch,2.951875,0.9349425000000001,2.6515,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,uniform_zero,oracle_best_switch,3.134725,0.9349425000000001,2.6515,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,low_mu_zero,stay,0.9556875,0.9422050000000001,2.6475,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,low_mu_zero,uniform_switch,2.72145,0.9422050000000001,2.6475,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,low_mu_zero,prior_best_switch,2.9681,0.9422050000000001,2.6475,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,low_mu_zero,oracle_best_switch,3.159,0.9422050000000001,2.6475,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,high_mu_zero,stay,0.933075,0.9449975,2.652375,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,high_mu_zero,uniform_switch,2.7062,0.9449975,2.652375,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,high_mu_zero,prior_best_switch,2.9483875,0.9449975,2.652375,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,random,high_mu_zero,oracle_best_switch,3.1360875,0.9449975,2.652375,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,uniform_zero,stay,3.1865,3.2,2.872975,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,uniform_zero,uniform_switch,1.196125,3.2,2.872975,0.09999999999999998,3.2,0.9400000000000002
5.0,3.0,40000.0,highest_mu,uniform_zero,prior_best_switch,1.215825,3.2,2.872975,0.09999999999999998,3.2,0.9400000000000002
