repeat,k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
0.0,5.0,2.0,30000.0,random,low_mu_zero,uniform_switch,1.8108,0.9389766666666668,1.9531,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,low_mu_zero,prior_best_switch,2.7417333333333334,0.9389766666666668,1.9531,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,low_mu_zero,oracle_best_switch,3.146716666666667,0.9389766666666668,1.9531,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,high_mu_zero,stay,0.9365333333333333,0.9428533333333334,1.9540666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,high_mu_zero,uniform_switch,1.8087833333333334,0.9428533333333334,1.9540666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,high_mu_zero,prior_best_switch,2.9234166666666668,0.9428533333333334,1.9540666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,high_mu_zero,oracle_best_switch,3.1297333333333333,0.9428533333333334,1.9540666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,uniform_zero,stay,3.2022666666666666,3.2,1.9887,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,uniform_zero,uniform_switch,0.7497333333333334,3.2,1.9887,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,uniform_zero,prior_best_switch,0.9425333333333333,3.2,1.9887,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,uniform_zero,oracle_best_switch,1.3310333333333333,3.2,1.9887,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,low_mu_zero,stay,3.212266666666667,3.2,1.9890333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,low_mu_zero,uniform_switch,0.7421166666666666,3.2,1.9890333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,low_mu_zero,prior_best_switch,0.7240666666666666,3.2,1.9890333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,low_mu_zero,oracle_best_switch,1.3488166666666668,3.2,1.9890333333333334,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,highest_mu,high_mu_zero,stay,3.1961333333333335,3.2,1.9886666666666666,0.09999999999999998,3.2,0.9400000000000002
