k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
5.0,1.0,60000.0,lowest_mu,low_mu_zero,oracle_best_switch,3.6958083333333334,0.09999999999999999,0.99765,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,high_mu_zero,stay,0.09971666666666666,0.09999999999999999,0.99755,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,high_mu_zero,uniform_switch,1.532,0.09999999999999999,0.99755,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,high_mu_zero,prior_best_switch,3.3181333333333334,0.09999999999999999,0.99755,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.69465,0.09999999999999999,0.99755,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,uniform_zero,stay,0.9327666666666666,0.9349033333333334,1.9547333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,uniform_zero,uniform_switch,1.8276083333333333,0.9349033333333334,1.9547333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,uniform_zero,prior_best_switch,2.8441833333333335,0.9349033333333334,1.9547333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,uniform_zero,oracle_best_switch,3.139225,0.9349033333333334,1.9547333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,low_mu_zero,stay,0.9415166666666667,0.9421816666666668,1.9538833333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,low_mu_zero,uniform_switch,1.811375,0.9421816666666668,1.9538833333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,low_mu_zero,prior_best_switch,2.7325083333333335,0.9421816666666668,1.9538833333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,low_mu_zero,oracle_best_switch,3.1378833333333334,0.9421816666666668,1.9538833333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,high_mu_zero,stay,0.9441083333333333,0.9404133333333335,1.9535,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,high_mu_zero,uniform_switch,1.8098333333333334,0.9404133333333335,1.9535,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,high_mu_zero,prior_best_switch,2.9271833333333332,0.9404133333333335,1.9535,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,random,high_mu_zero,oracle_best_switch,3.134625,0.9404133333333335,1.9535,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,uniform_zero,stay,3.2017333333333333,3.2,1.9895166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,uniform_zero,uniform_switch,0.74615,3.2,1.9895166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,uniform_zero,prior_best_switch,0.9453666666666667,3.2,1.9895166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,uniform_zero,oracle_best_switch,1.3228166666666668,3.2,1.9895166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,low_mu_zero,stay,3.2098,3.2,1.98895,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,low_mu_zero,uniform_switch,0.7351,3.2,1.98895,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,low_mu_zero,prior_best_switch,0.720125,3.2,1.98895,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,low_mu_zero,oracle_best_switch,1.3287583333333333,3.2,1.98895,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,high_mu_zero,stay,3.191,3.2,1.9883166666666667,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,high_mu_zero,uniform_switch,0.744525,3.2,1.9883166666666667,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,high_mu_zero,prior_best_switch,1.16535,3.2,1.9883166666666667,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,highest_mu,high_mu_zero,oracle_best_switch,1.3463,3.2,1.9883166666666667,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,lowest_mu,uniform_zero,stay,0.09956666666666666,0.09999999999999999,1.93385,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,lowest_mu,uniform_zero,uniform_switch,2.1855083333333334,0.09999999999999999,1.93385,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,lowest_mu,uniform_zero,prior_best_switch,3.319733333333333,0.09999999999999999,1.93385,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,lowest_mu,uniform_zero,oracle_best_switch,3.6958,0.09999999999999999,1.93385,0.09999999999999998,3.2,0.9400000000000002
5.0,2.0,60000.0,lowest_mu,low_mu_zero,stay,0.10188333333333334,0.09999999999999999,1.9339666666666666,0.09999999999999998,3.2,0.9400000000000002
